year,sharpe,mean_daily_bps,hit_rate,n_days
1999,5.092184514637312,69.11560441182425,0.592436974789916,238
2000,1.2492117896544666,28.670670377633858,0.5317460317460317,252
2001,-1.3368787510066105,-20.86011433262203,0.3951612903225806,248
2002,0.5502503274071862,12.36718534094279,0.5238095238095238,252
2003,2.062294546625765,36.36439403673208,0.5476190476190477,252
2004,1.788750437754938,30.121007665638366,0.5992063492063492,252
2005,2.4501748159880683,18.525742072005265,0.5952380952380952,252
2006,1.2062465139316887,10.146952114017342,0.5338645418326693,251
2007,3.076931901071192,26.408300371491848,0.545816733067729,251
2008,-1.0469155154844456,-20.415494343682706,0.4901185770750988,253
2009,0.8745510148575059,10.16099512874467,0.503968253968254,252
2010,0.2770520057734235,2.571021612743609,0.5158730158730159,252
2011,1.0944594510541392,12.164071423769109,0.5317460317460317,252
2012,1.3752617863789784,9.879886734627217,0.524,250
2013,-0.037207839300407414,-0.17232989969287946,0.5,252
2014,1.3644626272070104,6.719765846904866,0.49603174603174605,252
