year,sharpe,mean_daily_bps,hit_rate,n_days
1996,0.5568941746603394,6.880047665124698,0.3241758241758242,182
1997,1.9712080253645519,22.351726721569293,0.5019762845849802,253
1998,2.4693810744703146,33.32192896813588,0.5714285714285714,252
1999,3.826177331231652,53.8660467163937,0.5714285714285714,252
2000,-0.5501780287773377,-9.433383820440836,0.45634920634920634,252
2001,1.104263194793742,24.652981579361125,0.5120967741935484,248
2002,-0.6714788711792856,-10.064691527792965,0.4523809523809524,252
2003,-0.041460396582308254,-0.3956962320751766,0.49603174603174605,252
2004,0.9236190198677867,9.463693426087332,0.49603174603174605,252
2005,1.6368240039266064,11.263042409078817,0.5595238095238095,252
2006,0.9533646876235569,10.100687082701363,0.5737051792828686,251
2007,1.1112099062483582,12.684755906200277,0.50199203187251,251
2008,-0.010342103773582634,-0.267088995958561,0.40711462450592883,253
2009,1.4774756662181596,13.530774777931972,0.5396825396825397,252
2010,0.6306725148980864,4.926973786275046,0.4801587301587302,252
2011,1.0892326284692708,9.368071204663021,0.5396825396825397,252
2012,1.554200532885987,8.845027782701038,0.488,250
2013,3.6887454807396702,18.93106426153669,0.5992063492063492,252
2014,1.8903038989135081,14.004106647632836,0.623015873015873,252
2015,0.2154843747597555,2.005029580622972,0.5158730158730159,252
