year,sharpe,mean_daily_bps,hit_rate,n_days
1995,3.0886502604332664,26.66986799297918,0.5856573705179283,251
1996,3.444339711882099,29.003977531106276,0.6181102362204725,254
1997,1.1880811344542044,18.0664345244305,0.6284584980237155,253
1998,1.6039065815857954,19.316243430347672,0.4603174603174603,252
1999,2.6298502778054234,48.99652369515596,0.5952380952380952,252
2000,2.0660427706236058,35.07027484441786,0.5158730158730159,252
2001,0.4787345127916832,9.19391440730504,0.5040322580645161,248
2002,-0.9199172705259883,-12.180018824583557,0.4642857142857143,252
2003,2.4600961852689833,20.72372313658251,0.5476190476190477,252
2004,0.32185258729772875,2.1177069985834898,0.4603174603174603,252
2005,-1.0341917885258631,-5.279972814182873,0.3968253968253968,252
2006,-0.38721239125118817,-2.6346721612569675,0.4262948207171315,251
2007,0.8765208386324677,5.091152805761194,0.47410358565737054,251
2008,-1.3885178628275718,-14.703617286435904,0.4308300395256917,253
2009,-0.30726116912902257,-2.5301596748953883,0.48412698412698413,252
2010,0.8970336290209473,5.759463013905228,0.45634920634920634,252
2011,-0.3764506053821097,-3.2115743706250264,0.49206349206349204,252
2012,0.8406519872496672,4.043819631539569,0.484,250
2013,-0.5824542091574513,-3.3953576349134877,0.5198412698412699,252
2014,0.003863088607199362,0.019556366925026457,0.5238095238095238,252
